character,community,degree,betweenness,closeness,pagerank
Lancel-Lannister,1,0.005376344086021506,0.0,0.35361216730038025,0.0009335266219593402
Aemon-Targaryen-(Maester-Aemon),2,0.03763440860215054,0.01075268817204301,0.33695652173913043,0.005811978391627841
Alliser-Thorne,2,0.05376344086021506,0.02658384190642255,0.36328125,0.005356442137141223
Bowen-Marsh,2,0.02688172043010753,0.0008137169427492008,0.33574007220216606,0.002361050066775156
Chett,2,0.016129032258064516,0.0022086602731764024,0.3333333333333333,0.0019445723764484578
Clydas,2,0.005376344086021506,0.0,0.25237449118046135,0.0011359511512160207
Jeor-Mormont,2,0.06989247311827958,0.05180719890397308,0.4161073825503356,0.011617948388037938
Jon-Snow,2,0.19892473118279572,0.09027684366394043,0.493368700265252,0.04770801150205558
Samwell-Tarly,2,0.06451612903225806,0.040581364774913184,0.3576923076923077,0.009711599227617523
Albett,2,0.016129032258064516,0.007169219911155399,0.33214285714285713,0.0014844486231899898
Halder,2,0.043010752688172046,0.00794965472384827,0.33574007220216606,0.004101953738858576
Rast,2,0.03225806451612903,0.007572964669738865,0.3345323741007194,0.0024152753866813043
Grenn,2,0.03763440860215054,0.019104496201270405,0.33634719710669075,0.005497112095802634
Pypar,2,0.03763440860215054,0.0,0.33513513513513515,0.006813094077726087
Benjen-Stark,2,0.07526881720430108,0.05821688047494496,0.4325581395348837,0.007186821736211285
Yoren,2,0.03763440860215054,0.012934224547127775,0.38509316770186336,0.0025396271938430384
Jaremy-Rykker,2,0.021505376344086023,0.01075268817204301,0.33574007220216606,0.002882885106357838
Mance-Rayder,2,0.005376344086021506,0.0,0.3024390243902439,0.0009783718291204212
Dareon,2,0.005376344086021506,0.0,0.3309608540925267,0.0011124911882682193
Donal-Noye,2,0.005376344086021506,0.0,0.3309608540925267,0.00116421654674073
Dywen,2,0.005376344086021506,0.0,0.3309608540925267,0.001009040471323198
Todder,2,0.021505376344086023,0.0,0.33273703041144903,0.0024791758547557793
Hobb,2,0.005376344086021506,0.0,0.3309608540925267,0.0010607658297957087
Jafer-Flowers,2,0.005376344086021506,0.0,0.2516914749661705,0.0011084615595891984
Matthar,2,0.005376344086021506,0.0,0.3309608540925267,0.0009573151128506872
Othor,2,0.005376344086021506,0.0,0.3309608540925267,0.0010607658297957087
Randyll-Tarly,2,0.005376344086021506,0.0,0.26382978723404255,0.0010810307876965733
Arya-Stark,3,0.14516129032258066,0.028114289404611994,0.458128078817734,0.021498740787743942
Desmond,3,0.010752688172043012,0.0014307856243340113,0.3683168316831683,0.001121182744018543
Ilyn-Payne,3,0.048387096774193554,0.0027511382350092024,0.3866943866943867,0.002745686184290696
Jeyne-Poole,3,0.03225806451612903,0.0,0.36470588235294116,0.003203693773561823
Joffrey-Baratheon,3,0.16129032258064518,0.04194180355470677,0.4806201550387597,0.020672071683066142
Meryn-Trant,3,0.048387096774193554,0.020499162757227272,0.3675889328063241,0.0025652758522233267
Mordane,3,0.05913978494623656,0.0020003874842584517,0.40611353711790393,0.007056082882282579
Mycah,3,0.02688172043010753,0.0017243049501114017,0.3727454909819639,0.002949017727064436
Myrcella-Baratheon,3,0.03763440860215054,0.0,0.3661417322834646,0.0031897468272163634
Sandor-Clegane,3,0.08602150537634409,0.008105409557022462,0.41517857142857145,0.00748137318863844
Sansa-Stark,3,0.18817204301075272,0.05519796293989847,0.48947368421052634,0.02694466267974004
Syrio-Forel,3,0.016129032258064516,0.0,0.3697813121272366,0.0022420443270530273
Tommen-Baratheon,3,0.043010752688172046,0.04305402176369918,0.39323467230443976,0.002510474781652415
Balon-Swann,3,0.010752688172043012,0.0006974716652136006,0.3059210526315789,0.0010771001358614932
Boros-Blount,3,0.02688172043010753,0.00039966233514620626,0.33941605839416056,0.0020024460985760494
Beric-Dondarrion,3,0.03225806451612903,0.015663635986216642,0.3835051546391753,0.003083282686394479
Gregor-Clegane,3,0.06451612903225806,0.006478736801317445,0.4189189189189189,0.005191927270054404
Loras-Tyrell,3,0.07526881720430108,0.04227647001840551,0.39828693790149894,0.005746775877065728
Thoros-of-Myr,3,0.005376344086021506,0.0,0.27761194029850744,0.0012701140884604006
High-Septon-(fat_one),3,0.010752688172043012,0.0007846556233653008,0.36470588235294116,0.0011602352780551077
Marq-Piper,3,0.02688172043010753,0.017568121116508215,0.37575757575757573,0.0024120438228291204
Mace-Tyrell,3,0.010752688172043012,0.01075268817204301,0.28615384615384615,0.002618089305599317
Paxter-Redwyne,3,0.005376344086021506,0.0,0.22275449101796407,0.001915652106041227
