character,degree,betweenness,closeness,pagerank
High-Septon-(fat_one),0.010752688172043012,0.0007846556233653008,0.36470588235294116,0.0011602352780551077
Joseth,0.010752688172043012,0.0,0.3286219081272085,0.001140092639432134
Tobho-Mott,0.005376344086021506,0.0,0.3611650485436893,0.0011374061674042102
Stiv,0.010752688172043012,0.0,0.340036563071298,0.0011371216856895284
Clydas,0.005376344086021506,0.0,0.25237449118046135,0.0011359511512160207
Desmond,0.010752688172043012,0.0014307856243340113,0.3683168316831683,0.001121182744018543
Balon-Greyjoy,0.010752688172043012,0.009720803753061818,0.3765182186234818,0.0011210083963128065
Wendel-Manderly,0.010752688172043012,0.012680422357841713,0.34896810506566606,0.0011165137875877858
Dareon,0.005376344086021506,0.0,0.3309608540925267,0.0011124911882682193
Jafer-Flowers,0.005376344086021506,0.0,0.2516914749661705,0.0011084615595891984
Rhaego,0.005376344086021506,0.0,0.27555555555555555,0.0010922139552175538
Chella,0.005376344086021506,0.0,0.33879781420765026,0.0010877299214714262
Kurleket,0.005376344086021506,0.0,0.33879781420765026,0.0010877299214714262
Masha-Heddle,0.005376344086021506,0.0,0.33634719710669075,0.0010854778833946667
Randyll-Tarly,0.005376344086021506,0.0,0.26382978723404255,0.0010810307876965733
Balon-Swann,0.010752688172043012,0.0006974716652136006,0.3059210526315789,0.0010771001358614932
Eroeh,0.005376344086021506,0.0,0.2888198757763975,0.0010621383376151912
Hobb,0.005376344086021506,0.0,0.3309608540925267,0.0010607658297957087
Othor,0.005376344086021506,0.0,0.3309608540925267,0.0010607658297957087
Joss,0.005376344086021506,0.0,0.3611650485436893,0.0010416155588410516
Leo-Lefford,0.005376344086021506,0.0,0.33879781420765026,0.001030611744663772
Dywen,0.005376344086021506,0.0,0.3309608540925267,0.001009040471323198
Tregar,0.005376344086021506,0.0,0.3611650485436893,0.0009937202545594723
Jacks,0.005376344086021506,0.0,0.3611650485436893,0.0009937202545594723
Porther,0.005376344086021506,0.0,0.3611650485436893,0.0009937202545594723
Varly,0.005376344086021506,0.0,0.3611650485436893,0.0009937202545594723
Lyn-Corbray,0.005376344086021506,0.0,0.30097087378640774,0.0009831523527319462
Mance-Rayder,0.005376344086021506,0.0,0.3024390243902439,0.0009783718291204212
Donnel-Waynwood,0.005376344086021506,0.0,0.33634719710669075,0.000972142345010062
Mychel-Redfort,0.005376344086021506,0.0,0.33634719710669075,0.000972142345010062
Moreo-Tumitis,0.005376344086021506,0.0,0.33634719710669075,0.000972142345010062
Maegor-I-Targaryen,0.005376344086021506,0.0,0.3292035398230089,0.0009701939295594675
Matthar,0.005376344086021506,0.0,0.3309608540925267,0.0009573151128506872
Harys-Swyft,0.005376344086021506,0.0,0.3163265306122449,0.0009545304767117637
Hugh,0.005376344086021506,0.0,0.30491803278688523,0.0009473780744019202
Gendry,0.005376344086021506,0.0,0.3611650485436893,0.000945824950277893
Howland-Reed,0.005376344086021506,0.0,0.3611650485436893,0.000945824950277893
Wylla,0.005376344086021506,0.0,0.3611650485436893,0.000945824950277893
Hali,0.005376344086021506,0.0,0.328042328042328,0.0009450974416921424
Lancel-Lannister,0.005376344086021506,0.0,0.35361216730038025,0.0009335266219593402
Arys-Oakheart,0.005376344086021506,0.0,0.3268892794376098,0.0009321424486713801
